id,titles,artists,danceability,energy,acousticness,instrumentalness,tempo,dataset,cluster
3k79jB4aGmMDUQzEwa46Rz,Vampire,Olivia Rodrigo,0.511,0.532,0.169,0.0,137.827,H,1
59uQI0PADDKeE6UZDTJEe8,Last Night,Morgan Wallen,0.517,0.675,0.459,0.0,203.853,H,10
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,0.712,0.603,0.186,0.0,97.994,H,0
0WtM2NBVQNNJLh6scP13H8,Calm Down,Rema & Selena Gomez,0.801,0.806,0.382,0.000669,106.999,H,0
0yLdNVWF3Srea0uzk55zFn,Flowers,Miley Cyrus,0.707,0.681,0.0632,5.15e-06,117.999,H,1
6HgWWaMu31KdOpEG5l28BG,All My Life,Lil Durk Featuring J. Cole,0.829,0.436,0.15,0.0,143.031,H,1
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,0.552,0.702,0.117,2.06e-05,169.994,H,10
4rXLjWdF2ZZpXCVTfWcshS,Fukumean,Gunna,0.847,0.622,0.119,0.0,130.001,H,1
4i6cwNY6oIUU2XZxPIw82Y,Karma,Taylor Swift Featuring Ice Spice,0.615,0.616,0.0623,0.0,89.977,H,0
1SRw5p2lVAi7RGlHEmZg66,Favorite Song,Toosii,0.816,0.367,0.314,0.0,116.035,H,0
4daEMLSZCgZ2Mt7gNm2SRa,Flooded The Face,Lil Uzi Vert,0.64,0.609,0.492,2.47e-06,131.889,H,1
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,0.644,0.735,0.0521,0.144,88.98,H,0
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,0.559,0.551,0.141,0.0,143.008,H,1
2dHHgzDwk4BJdRwy9uXhTO,Creepin',"Metro Boomin, The Weeknd & 21 Savage",0.715,0.62,0.417,0.0,97.95,H,0
3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,Eslabon Armado X Peso Pluma,0.668,0.758,0.483,1.89e-05,147.989,H,1
0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,0.684,0.607,0.0267,0.000307,81.001,H,0
5twSy6ffBrF03mnNUsUgJZ,Need A Favor,Jelly Roll,0.504,0.771,0.0123,1.89e-05,157.985,H,10
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,0.637,0.643,0.13,1.8e-06,97.008,H,0
